dataset,leadFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.4000000000000004, 2.6000000000000005)",66,4.7992118197726086e-05,3.4897626455254738e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.6000000000000005, 2.8000000000000007)",38,2.7631824195850641e-05,2.009257170365597e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.8000000000000007, 3.0)",22,1.4543065844918601e-05,1.1632542151751579e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.0, 3.2)",8,5.8172263379674405e-06,4.2300152096330645e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.2, 3.4000000000000004)",4,2.9086131689837202e-06,2.1150076048165323e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.4000000000000004, 3.6000000000000005)",5,3.6357664612296503e-06,2.643759560230774e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.6000000000000005, 3.8000000000000007)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-3.4, -3.2)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-3.2, -3.0)",3,9.7835004453372676e-07,2.8715064180617755e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-3.0, -2.8)",4,3.913400178134907e-06,3.8286752240823674e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-2.8, -2.5999999999999996)",9,8.8051501734298654e-06,8.6145188205044576e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-2.5999999999999996, -2.4)",29,2.6415451429784298e-05,2.7757894940916295e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-2.4, -2.2)",23,2.2502050342154689e-05,2.2014882972154481e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-2.2, -2.0)",42,3.7177302147028968e-05,4.0201088985503119e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-2.0, -1.7999999999999998)",78,7.4354604294057935e-05,7.4659167736967902e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",128,0.00012327211152296513,1.2251760717063576e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-1.5999999999999996, -1.4)",177,0.00016338445129804313,1.6941888170141084e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-1.4, -1.1999999999999997)",267,0.00025534935411997139,2.5556406990645542e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-1.1999999999999997, -1.0)",317,0.00030622357735410333,3.0342250934012327e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-1.0, -0.7999999999999998)",393,0.00037666477146558464,3.7616734727130563e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",489,0.00047841315972618759,4.6805553877149464e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",538,0.00051852554315701127,5.1495679942448191e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",581,0.0005605945480056107,5.5611509841568818e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-0.19999999999999973, 0.0)",615,0.00059385847998782992,5.8865878838076924e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 0.20000000000000018)",611,0.00058994506252929568,5.8483012876919815e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.20000000000000018, 0.40000000000000036)",585,0.0005605945480056107,5.5994375802725926e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.40000000000000036, 0.6000000000000005)",572,0.00054983270820230246,5.475005449007142e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.6000000000000005, 0.8000000000000007)",461,0.00044123586849309504,4.4125481046819459e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.8000000000000007, 1.0)",399,0.00038253486854955554,3.8191036444423787e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.0, 1.2000000000000002)",314,0.00030524522298946977,3.0055100075365715e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.2000000000000002, 1.4000000000000004)",263,0.00024752254830673337,2.5173538253930872e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.4000000000000004, 1.6000000000000005)",182,0.00017218961147591472,1.742047200936625e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.6000000000000005, 1.8000000000000007)",105,0.00010272675717715174,1.0050272419848127e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.8000000000000007, 2.0)",83,8.12030557426624e-05,7.9445013068113468e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2.0, 2.2)",57,5.3809253586223349e-05,5.4558621509492866e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2.2, 2.4000000000000004)",40,3.5220600693719462e-05,3.8286752240823674e-11
