dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1240.0, 1280.0)",5,3.6357664612296503e-06,2.643759560230774e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1280.0, 1320.0)",2,1.4543065844918601e-06,1.0575038024082661e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1320.0, 1360.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1360.0, 1400.0)",2,1.4543065844918601e-06,1.0575038024082661e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1400.0, 1440.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1440.0, 1480.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1480.0, 1520.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1520.0, 1560.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1560.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1600.0, 1640.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1640.0, 1680.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1680.0, 1720.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1720.0, 1760.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1800.0, 1840.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1840.0, 1880.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1880.0, 1920.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1920.0, 1960.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1960.0, 2000.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2000.0, 2040.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2040.0, 2080.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2080.0, 2120.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2120.0, 2160.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2160.0, 2200.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2200.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 40.0)",1833,0.001783532090485096,1.7544904418187457e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[40.0, 80.0)",2675,0.0025701255071908236,2.5604265374568058e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[80.0, 120.0)",2315,0.0022355299443006516,2.2158457291254763e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[120.0, 160.0)",1693,0.0016250393819063902,1.6204867447910942e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[160.0, 200.0)",1393,0.0013374044792726636,1.3333361081890871e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[200.0, 240.0)",1043,0.00098911183886229992,9.9832708766456335e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[240.0, 280.0)",825,0.00079148518852889538,7.8966427841109521e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[280.0, 320.0)",676,0.00065158115467056632,6.4704613889077223e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[320.0, 360.0)",579,0.00056255125673487782,5.5420074085432702e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[360.0, 400.0)",443,0.00042753896559588611,4.2402578670497348e-10
