dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[760.0, 800.0)",28,2.7393802156439051e-05,2.6800726568576572e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[800.0, 840.0)",24,1.9566999981179833e-05,2.2972051344494204e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[840.0, 880.0)",19,1.8588651073514484e-05,1.8186207748072114e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[880.0, 920.0)",24,2.152370143448934e-05,2.2972051344494204e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[920.0, 960.0)",19,1.8588651073514484e-05,1.8186207748072114e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[960.0, 1000.0)",16,1.5653600712539628e-05,1.531470089632947e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1000.0, 1040.0)",11,6.8484505391097628e-06,1.0528857299907379e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1040.0, 1080.0)",11,8.8051501734298654e-06,1.0528857299907379e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1080.0, 1120.0)",12,1.1740200534404721e-05,1.1486025672247102e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1120.0, 1160.0)",8,7.8268003562698141e-06,7.6573504481647348e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1160.0, 1200.0)",5,4.8917499952949584e-06,4.7858440301029592e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1200.0, 1240.0)",6,5.8701002672023606e-06,5.7430128361235511e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1240.0, 1280.0)",3,2.9350501336011803e-06,2.8715064180617755e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1280.0, 1320.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1320.0, 1360.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1360.0, 1400.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1400.0, 1440.0)",2,1.9567000890674535e-06,1.9143376120411837e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1440.0, 1480.0)",3,2.9350501336011803e-06,2.8715064180617755e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1480.0, 1520.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1520.0, 1560.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1560.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1600.0, 1640.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1640.0, 1680.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1680.0, 1720.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1720.0, 1760.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1800.0, 1840.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1840.0, 1880.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1880.0, 1920.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1920.0, 1960.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1960.0, 2000.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2000.0, inf)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 40.0)",2499,0.23423680663108826,2.1955534975859337e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[40.0, 80.0)",4692,0.43979156017303467,4.1222639993065968e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[80.0, 120.0)",4234,0.3968622088432312,3.7198773497948423e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[120.0, 160.0)",3007,0.28185278177261353,2.6418685592943802e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[160.0, 200.0)",1973,0.18493366241455078,1.7334243239019997e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[200.0, 240.0)",1085,0.10169945657253265,9.5325158326886594e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[240.0, 280.0)",650,0.060925941914319992,5.7107235988951288e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[280.0, 320.0)",382,0.035805705934762955,3.356148226885125e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[320.0, 360.0)",300,0.028119664639234543,2.6357186015957268e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[360.0, 400.0)",200,0.018746443092823029,1.7571456965015386e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[400.0, 440.0)",156,0.014622226357460022,1.3705736137126223e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[440.0, 480.0)",115,0.010779204778373241,1.0103588010679232e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[480.0, 520.0)",77,0.0072173806838691235,6.7650108803718467e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[520.0, 560.0)",52,0.0048740752972662449,4.5685789018534706e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[560.0, 600.0)",32,0.002999430987983942,2.8114331485085131e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[600.0, 640.0)",21,0.0019683765713125467,1.8450029415362224e-07
