dataset,mht_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 50.0)",10212,0.95719343423843384,8.9719862444326282e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[50.0, 100.0)",14518,1.3608043193817139,0.000127551204059273
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[100.0, 150.0)",9716,0.91070222854614258,8.536213863408193e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[150.0, 200.0)",6265,0.58723235130310059,5.504259024746716e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[200.0, 250.0)",3805,0.35665109753608704,3.3429696486564353e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[250.0, 300.0)",2282,0.21389691531658173,2.0049032173119485e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[300.0, 350.0)",1330,0.12466385215520859,1.1685018762364052e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[350.0, 400.0)",654,0.061300870031118393,5.7458664741716348e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[400.0, 450.0)",267,0.025026502087712288,2.3457894258172018e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[450.0, 500.0)",85,0.0079672383144497871,7.4678695227703429e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[500.0, 550.0)",31,0.0029056987259536982,2.7235759603172482e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[550.0, 600.0)",15,0.0014059832319617271,1.3178592439544445e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[600.0, 650.0)",8,0.00074985774699598551,7.0285828712712828e-08
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[650.0, 700.0)",8,0.00074985774699598551,7.0285828712712828e-08
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[700.0, 750.0)",2,0.00018746443674899638,1.7571457178178207e-08
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[750.0, 800.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[800.0, 850.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[850.0, 900.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[900.0, 950.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[950.0, 1000.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1000.0, 1050.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1050.0, 1100.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1100.0, 1150.0)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1150.0, 1200.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1200.0, 1250.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1250.0, 1300.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1300.0, 1350.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1350.0, 1400.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1400.0, 1450.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1450.0, 1500.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1500.0, 1550.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1550.0, 1600.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[1600.0, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.0, 50.0)",7275,0.0022646707948297262,7.0498068494018185e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[50.0, 100.0)",12021,0.0037420769222080708,1.1648897402238845e-09
