dataset,leadFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1750.0, 1800.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1800.0, 1850.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1850.0, 1900.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1900.0, 1950.0)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1950.0, 2000.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2000.0, inf)",1,9.7835004453372676e-07,9.5716880602059184e-13
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 50.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[50.0, 100.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[100.0, 150.0)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[150.0, 200.0)",4157,0.38964483141899109,3.6522273148875684e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[200.0, 250.0)",7358,0.68968164920806885,6.4645391830708832e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[250.0, 300.0)",7518,0.70467883348464966,6.6051106841769069e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[300.0, 350.0)",6962,0.65256369113922119,6.1166239902377129e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[350.0, 400.0)",5436,0.50952833890914917,4.7759222070453689e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[400.0, 450.0)",3438,0.32225137948989868,3.0205334041966125e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[450.0, 500.0)",1454,0.13628664612770081,1.277444971492514e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[500.0, 550.0)",482,0.045178927481174469,4.2347210182924755e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[550.0, 600.0)",161,0.015090887434780598,1.4145023214950925e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[600.0, 650.0)",128,0.011997723951935768,1.1245732594034052e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[650.0, 700.0)",80,0.0074985772371292114,7.0285830133798299e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[700.0, 750.0)",31,0.0029056987259536982,2.7235759603172482e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[750.0, 800.0)",23,0.0021558410953730345,2.0207176021358464e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[800.0, 850.0)",16,0.001499715493991971,1.4057165742542566e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[850.0, 900.0)",13,0.0012185188243165612,1.1421447254633676e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[900.0, 950.0)",6,0.00056239333935081959,5.2714369758177781e-08
