dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.2800000000000002, 1.4933333333333332)",529,5.1470331527525559e-05,5.6281871524399563e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.4933333333333332, 1.706666666666667)",489,4.8375924961874261e-05,5.2026152483342081e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.706666666666667, 1.92)",470,4.6416131226578727e-05,5.0004687890403687e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.92, 2.1333333333333337)",494,4.9304246203973889e-05,5.2558118447676438e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.1333333333333337, 2.3466666666666667)",509,4.9407393817091361e-05,5.4154012003870822e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.3466666666666667, 2.5600000000000005)",516,5.1160892326151952e-05,5.4898763486577185e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.5600000000000005, 2.7733333333333334)",515,5.1676626753760502e-05,5.4792372895795527e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.7733333333333334, 2.9866666666666672)",494,4.9097950977738947e-05,5.2558118447676438e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.9866666666666672, 3.2)",387,3.9092697988962755e-05,4.1174073699135061e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, -3.2)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.2, -2.986666666666667)",825,0.00026104395510628819,8.2598733408545399e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.986666666666667, -2.7733333333333334)",1152,0.00036451229243539274,1.1533786425932391e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.7733333333333334, -2.56)",1199,0.00037938391324132681,1.200434890380464e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.56, -2.3466666666666667)",1137,0.00035976603976450861,1.1383607251280736e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.3466666666666667, -2.1333333333333337)",1162,0.00036767646088264883,1.1633906338293087e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-2.1333333333333337, -1.9200000000000002)",1137,0.00035976603976450861,1.1383607251280736e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.9200000000000002, -1.7066666666666668)",1158,0.00036641079350374639,1.1593858512126687e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.7066666666666668, -1.4933333333333334)",1113,0.00035217203549109399,1.1143319600392942e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.4933333333333334, -1.28)",1134,0.00035881678923033178,1.1353570861238893e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.28, -1.0666666666666669)",1164,0.00036830929457210004,1.1653930598320983e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-1.0666666666666669, -0.8533333333333335)",1162,0.00036767646088264883,1.1633906338293087e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.8533333333333335, -0.6400000000000001)",1171,0.00037052421248517931,1.1724013426750446e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.6400000000000001, -0.42666666666666675)",1152,0.00036451229243539274,1.1533786425932391e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.42666666666666675, -0.21333333333333337)",1182,0.000374004797777161,1.18341447752357e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-0.21333333333333337, 0.0)",1127,0.00035660187131725252,1.128348733892004e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 0.21333333333333337)",1206,0.00038159883115440607,1.2074433120012884e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.21333333333333337, 0.42666666666666675)",1168,0.00036957496195100248,1.1693977730597993e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.42666666666666675, 0.6400000000000001)",1148,0.0003632466250564903,1.149373859976599e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.6400000000000001, 0.8533333333333335)",1116,0.00035312128602527082,1.1173355296545395e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.8533333333333335, 1.0666666666666664)",1121,0.00035470337024889886,1.1223415252725744e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.0666666666666664, 1.2800000000000002)",1116,0.00035312128602527082,1.1173355296545395e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.2800000000000002, 1.4933333333333332)",1236,0.00039109133649617434,1.2374791469316193e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.4933333333333332, 1.706666666666667)",1161,0.00036736004403792322,1.162389420827914e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.706666666666667, 1.92)",1149,0.00036356304190121591,1.1503750729779938e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.92, 2.1333333333333337)",1127,0.00035660187131725252,1.128348733892004e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.1333333333333337, 2.3466666666666667)",1161,0.00036736004403792322,1.162389420827914e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.3466666666666667, 2.5600000000000005)",1164,0.00036830929457210004,1.1653930598320983e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.5600000000000005, 2.7733333333333334)",1206,0.00038159883115440607,1.2074433120012884e-10
