dataset,dijet_deta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.2, 0.4)",4151,0.00014306194498203695,4.9305516267028615e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.4, 0.6000000000000001)",4206,0.00014495749201159924,4.9958804454464101e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.6000000000000001, 0.8)",4082,0.00014068390009924769,4.8485937487185993e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.8, 1.0)",3979,0.0001371340622426942,4.72625020717099e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.0, 1.2000000000000002)",3637,0.00012534721463453025,4.3200230719075972e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.2000000000000002, 1.4000000000000001)",3396,0.00011704127973644063,4.0337637743914634e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.4000000000000001, 1.6)",3044,0.00010490979184396565,3.6156587706476229e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.6, 1.8)",2779,9.5776711532380432e-05,3.3008921117294587e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1.8, 2.0)",2333,8.0405567132402211e-05,2.7711340166991505e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.0, 2.2)",2053,7.0755522756371647e-05,2.4385504466400976e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.2, 2.4000000000000004)",1681,5.7934743381338194e-05,1.9966892722544927e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.4000000000000004, 2.6)",1434,4.9422025767853484e-05,1.7033030801777427e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.6, 2.8000000000000003)",1076,3.7083751522004604e-05,1.2780711818732859e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[2.8000000000000003, 3.0)",883,3.0432111088884994e-05,1.0488260650601267e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.0, 3.2)",648,2.2332966182148084e-05,7.696934452641746e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.2, 3.4000000000000004)",530,1.8266160623170435e-05,6.2953320941611102e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.4000000000000004, 3.6)",417,1.4371677025337704e-05,4.9531201622848853e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.6, 3.8000000000000003)",282,9.7189758889726363e-06,3.3495919254424023e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[3.8000000000000003, 4.0)",192,6.6171751313959248e-06,2.2805731912309279e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.0, 4.2)",129,4.4459143282438163e-06,1.5322601043879502e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.2, 4.4)",90,3.1018007575767115e-06,1.0690186664488385e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.4, 4.6000000000000005)",58,1.9989381598861655e-06,6.889231345770172e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.6000000000000005, 4.800000000000001)",30,1.0339335858589038e-06,3.5633957807049144e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[4.800000000000001, 5.0)",20,6.8928903829146293e-07,2.3755970741988833e-14
