dataset,min_dphi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.64, 0.72)",993,0.00031420201412402093,9.9418834276221446e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.72, 0.8)",814,0.0002575633698143065,8.1497412984798956e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.8, 0.88)",780,0.0002468051970936358,7.8093344291207956e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.88, 0.96)",710,0.00022465601796284318,7.1084971242640904e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.96, 1.04)",690,0.000218327681068331,6.9082572995426972e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.04, 1.12)",601,0.00019016658188775182,6.0171922999785465e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.12, 1.2)",632,0.00019997550407424569,6.3275634731851937e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.2, 1.28)",558,0.00017656064301263541,5.5866776482726976e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.28, 1.36)",582,0.00018415464728605002,5.8269652991604914e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.36, 1.44)",533,0.00016865022189449519,5.3363785612603465e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.44, 1.52)",552,0.00017466214194428176,5.5266059090230968e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.52, 1.6)",442,0.00013985628902446479,4.4252896486129956e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.6, 1.68)",367,0.0001161250111181289,3.6743920406312469e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.68, 1.76)",306,9.6823583589866757e-05,3.0636621711765955e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.76, 1.84)",281,8.8913155195768923e-05,2.8133629106918967e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.84, 1.92)",318,0.00010062058572657406,3.1838056496757972e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.92, 2.0)",280,8.8596738351043314e-05,2.8033509541502966e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.0, 2.08)",262,8.2901235145982355e-05,2.6231353894567988e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.08, 2.16)",329,0.00010410117101855576,3.2939373451057463e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.16, 2.24)",281,8.8913155195768923e-05,2.8133629106918967e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.24, 2.32)",324,0.00010251908679492772,3.243877388925398e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.32, 2.4)",332,0.00010505042155273259,3.3239730412581991e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.4, 2.48)",348,0.00011011309106834233,3.4841646928684966e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.48, 2.56)",424,0.0001341607712674886,4.2450740839194978e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.56, 2.64)",475,0.00015029804490040988,4.7556843879581479e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.64, 2.72)",514,0.00016263830184470862,5.1461512134975962e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.72, 2.8000000000000003)",699,0.00022117543267086148,6.9983650818894461e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.8000000000000003, 2.88)",886,0.00028034541173838079,8.8706028633644962e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.88, 2.96)",1396,0.00044171803165227175,1.3976705903750997e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.96, 3.04)",2197,0.00069516798248514533,2.1996292287607133e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.04, 3.12)",3920,0.0012403543805703521,3.9246911276435981e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.12, 3.2)",1370,0.00043349119368940592,1.3716394686724698e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.2, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, 0.0)",1024,0.0003259606019128114,1.0376006998047416e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 0.08)",5813,0.0018503994215279818,5.8902077659794827e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.08, 0.16)",5145,0.001637761015444994,5.213335318998702e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.16, 0.24)",4075,0.0012971577234566212,4.1291239871732444e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.24, 0.32)",3309,0.0010533238528296351,3.3529498622009157e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.32, 0.4)",2712,0.00086328625911846757,2.7480206998831136e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.4, 0.48)",2181,0.00069425790570676327,2.2099679031217789e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.48, 0.56)",1822,0.00057998066768050194,1.8461997208785164e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.56, 0.64)",1540,0.00049021421000361443,1.5604541270253236e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.64, 0.72)",1382,0.00043991947313770652,1.4003556647601556e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.72, 0.8)",1209,0.00038484996184706688,1.225057832954235e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.8, 0.88)",1131,0.00036002093111164868,1.1460218884984386e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.88, 0.96)",1012,0.00032214075326919556,1.0254413290722297e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.96, 1.04)",912,0.00029030867153778672,9.2411314711604575e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.04, 1.12)",894,0.00028457888402044773,9.0587405632280849e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.12, 1.2)",803,0.00025561169604770839,8.1366538506877362e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.2, 1.28)",815,0.00025943154469132423,8.2582475580128545e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.28, 1.36)",760,0.00024192388809751719,7.7009426613372511e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.36, 1.44)",755,0.0002403322869213298,7.6502783274978725e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.44, 1.52)",723,0.00023014600446913391,7.3260286725940205e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.52, 1.6)",602,0.00019162918033543974,6.0999573447961808e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.6, 1.68)",480,0.00015279403305612504,4.8637531502304654e-11
