dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6000000000000005)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.6000000000000005, 3.8000000000000007)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.0, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.4, -3.2)",2,2.0629391883630888e-07,2.1278590800716084e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.2, -3.0)",4,4.1258783767261775e-07,4.2557181601432167e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-3.0, -2.8)",11,9.2832260634168051e-07,1.170322519450373e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.8, -2.5999999999999996)",17,1.753498281686916e-06,1.8086801587685608e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.5999999999999996, -2.4)",28,2.888114977395162e-06,2.9790026782189338e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.4, -2.2)",66,6.188817678776104e-06,7.0219351167022381e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.2, -2.0)",109,1.1036724572477397e-05,1.1596832435317728e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-2.0, -1.7999999999999998)",194,1.8772747353068553e-05,2.0640232144958359e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",250,2.4136388674378395e-05,2.6598237501396227e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.5999999999999996, -1.4)",334,3.3007025194820017e-05,3.5535246620255201e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.4, -1.1999999999999997)",514,5.1160892326151952e-05,5.4685977968205179e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.1999999999999997, -1.0)",651,6.4673142333049327e-05,6.9261814165944013e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-1.0, -0.7999999999999998)",813,8.0764068115968257e-05,8.6497475848545946e-12
