dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[900.0, 950.0)",631,2.1747069695265964e-05,7.495008845330442e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[950.0, 1000.0)",506,1.7439013390685432e-05,6.0102606485451515e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1000.0, 1050.0)",496,1.7094367649406195e-05,5.8914808795385021e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1050.0, 1100.0)",444,1.5302217434509657e-05,5.2738255386028388e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1100.0, 1150.0)",343,1.1821307452919427e-05,4.0741490584840501e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1150.0, 1200.0)",271,9.3398666649591178e-06,3.2189339084845447e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1200.0, 1250.0)",239,8.2370042946422473e-06,2.8388383766127234e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1250.0, 1300.0)",197,6.7894970925408415e-06,2.3399630757342527e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1300.0, 1350.0)",164,5.6521703299949877e-06,1.9479895669617664e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1350.0, 1400.0)",125,4.3080567593278829e-06,1.4847481967852905e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1400.0, 1450.0)",110,3.7910897390247555e-06,1.3065784077500447e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1450.0, 1500.0)",82,2.8260851649974938e-06,9.739947834808832e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1500.0, 1550.0)",68,2.3435827642970253e-06,8.0770297134630242e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1550.0, 1600.0)",41,1.4130425824987469e-06,4.869973917404416e-14
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[1600.0, inf)",91,3.1362651498056948e-06,1.0808966433495035e-13
