dataset,dijet_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4200.0, 4300.0)",3,2.6012530724983662e-06,2.2555056780615423e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4300.0, 4400.0)",3,2.6012530724983662e-06,2.2555056780615423e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4400.0, 4500.0)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4500.0, inf)",5,2.6012530724983662e-06,3.7591761301025706e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 100.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[100.0, 200.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[200.0, 300.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[300.0, 400.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[400.0, 500.0)",4,4.1258783767261775e-07,4.2557181601432167e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[500.0, 600.0)",19,1.753498281686916e-06,2.0214660837163806e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[600.0, 700.0)",42,4.332172466092743e-06,4.4685040173284007e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[700.0, 800.0)",47,4.8479068937012926e-06,5.000468897460586e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[800.0, 900.0)",64,6.601405402761884e-06,6.8091490562291468e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[900.0, 1000.0)",98,1.0108402420883067e-05,1.0426509915867355e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1100.0)",125,1.2893369785160758e-05,1.3299118750698113e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1200.0)",125,1.1861900020448957e-05,1.3299118750698113e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1300.0)",181,1.7638130884733982e-05,1.9257124107135981e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1400.0)",198,1.939162757480517e-05,2.1065805350106714e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1500.0)",204,2.0423098249011673e-05,2.170416190522273e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1500.0, 1600.0)",260,2.5580446163075976e-05,2.7662167261660597e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1600.0, 1700.0)",295,2.9190588975325227e-05,3.1385922506788066e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1700.0, 1800.0)",306,3.0325205443659797e-05,3.2556242857834095e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1800.0, 1900.0)",302,3.0325205443659797e-05,3.2130671821090084e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1900.0, 2000.0)",376,3.7958081520628184e-05,4.0003751179684688e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2000.0, 2100.0)",464,4.662242645281367e-05,4.9366331335287672e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2100.0, 2200.0)",484,4.7653895308030769e-05,5.1494190855816413e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2200.0, 2300.0)",516,5.0335715059190989e-05,5.4898763486577185e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2300.0, 2400.0)",596,5.9618942032102495e-05,6.3410201568692148e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2400.0, 2500.0)",582,5.7349709095433354e-05,6.1920698603279423e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2500.0, 2600.0)",643,6.3847968704067171e-05,6.8410667755647303e-12
