dataset,sublFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1200.0, 1240.0)",150,0.00012832848005928099,1.1277528216835364e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1240.0, 1280.0)",102,8.8442604464944452e-05,7.6687191319368964e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1280.0, 1320.0)",80,6.9366746174637228e-05,6.0146818081641129e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1320.0, 1360.0)",58,4.6822555304970592e-05,4.3606444843913295e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1360.0, 1400.0)",51,4.2487132304813713e-05,3.8343595659684482e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1440.0)",30,2.4278360797325149e-05,2.2555056780615423e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1440.0, 1480.0)",13,1.127209634432802e-05,9.7738579382666835e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1480.0, 1520.0)",10,8.6708432718296535e-06,7.5183522602051411e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1520.0, 1560.0)",4,3.4683373542065965e-06,3.0073409040820565e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1560.0, 1600.0)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1600.0, 1640.0)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1640.0, 1680.0)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1680.0, 1720.0)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1720.0, 1760.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1800.0, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 40.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[40.0, 80.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[80.0, 120.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[120.0, 160.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[160.0, 200.0)",65,6.4982582443917636e-06,6.9155418154151493e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[200.0, 240.0)",504,4.9716833018464968e-05,5.3622050376345154e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[240.0, 280.0)",477,4.7344456106657162e-05,5.074943937311005e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[280.0, 320.0)",550,5.4667889344273135e-05,5.8516125972518651e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[320.0, 360.0)",608,6.0856706113554537e-05,6.4686914678924179e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[360.0, 400.0)",628,6.1475584516301751e-05,6.681477419945292e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[400.0, 440.0)",671,6.6323496866971254e-05,7.1389673686472754e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[440.0, 480.0)",610,6.106300133978948e-05,6.4899700197296184e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[480.0, 520.0)",620,6.1888174968771636e-05,6.5963632125964899e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[520.0, 560.0)",621,6.157873576739803e-05,6.6070022716746557e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[560.0, 600.0)",646,6.3332234276458621e-05,6.8729848201609656e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[600.0, 640.0)",605,6.0134676459711045e-05,6.4367738569770516e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[640.0, 680.0)",579,5.7452856708550826e-05,6.160152249412576e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[680.0, 720.0)",563,5.4358446504920721e-05,5.9899234010341029e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[720.0, 760.0)",571,5.7246561482315883e-05,6.075037608382905e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[760.0, 800.0)",496,4.9716833018464968e-05,5.2770903966048444e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[800.0, 840.0)",480,4.8066482122521847e-05,5.1068619819072403e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[840.0, 880.0)",473,4.5694101572735235e-05,5.032386833636604e-12
