dataset,ht,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1470.0, 1540.0)",512,5.157347914064303e-05,5.4473192449833174e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1540.0, 1610.0)",482,4.7035013267304748e-05,5.1281405337444408e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1610.0, 1680.0)",471,4.5281514758244157e-05,5.0111082817994035e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1680.0, 1750.0)",513,5.1057744713034481e-05,5.4579587377423522e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1750.0, 1820.0)",509,4.9819980631582439e-05,5.4154012003870822e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1820.0, 1890.0)",491,4.8169629735639319e-05,5.2238942338522776e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1890.0, 1960.0)",549,5.3533272875938565e-05,5.8409731044928304e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1960.0, 2030.0)",549,5.4358446504920721e-05,5.8409731044928304e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2030.0, 2100.0)",497,4.878851177636534e-05,5.2877298893638791e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2100.0, 2170.0)",506,5.0335715059190989e-05,5.3834835894717159e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2170.0, 2240.0)",517,5.1470331527525559e-05,5.5005158414167532e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2240.0, 2310.0)",482,4.9304246203973889e-05,5.1281405337444408e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2310.0, 2380.0)",496,4.9097950977738947e-05,5.2770903966048444e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2380.0, 2450.0)",481,4.7550747694913298e-05,5.117501040985406e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2450.0, 2520.0)",432,4.3528016249183565e-05,4.5961754367718211e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2520.0, 2590.0)",413,4.0124166844179854e-05,4.3940289774779817e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2590.0, 2660.0)",408,4.0639901271788403e-05,4.3408323810445459e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2660.0, 2730.0)",382,3.7751786294393241e-05,4.0642107734800703e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2730.0, 2800.0)",371,3.6617169826058671e-05,3.947178521535033e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2800.0, 2870.0)",297,3.022205964953173e-05,3.1598708025160072e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2870.0, 2940.0)",301,2.9396884201560169e-05,3.2024279061904082e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2940.0, 3010.0)",242,2.3517506633652374e-05,2.5747095427908206e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3010.0, 3080.0)",220,2.1454567104228772e-05,2.340645038900746e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3080.0, 3150.0)",198,2.0010509615531191e-05,2.1065805350106714e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3150.0, 3220.0)",198,1.9185334167559631e-05,2.1065805350106714e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3220.0, 3290.0)",159,1.557519135531038e-05,1.6916480152437408e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3290.0, 3360.0)",135,1.3305957509146538e-05,1.4363048510962484e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3360.0, 3430.0)",117,1.1449312296463177e-05,1.2447975593007921e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3430.0, 3500.0)",83,8.1486095950822346e-06,8.8306152754707989e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3500.0, inf)",374,3.65140222129412e-05,3.9790965661312683e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 70.0)",184,5.8220713981427252e-05,1.8422020853225973e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[70.0, 140.0)",408,0.00012909810175187886,4.0848827792538955e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[140.0, 210.0)",733,0.00023193360539153218,7.3387719512485461e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[210.0, 280.0)",1027,0.00032496018684469163,1.0282290296981245e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[280.0, 350.0)",1348,0.00042653002310544252,1.349613198975419e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[350.0, 420.0)",1678,0.00053094758186489344,1.6800080770984493e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[420.0, 490.0)",1904,0.00060245784698054194,1.9062786071888382e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[490.0, 560.0)",1962,0.00062081002397462726,1.9643479898245886e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[560.0, 630.0)",2212,0.00069991423515602946,2.2146472156148178e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[630.0, 700.0)",2300,0.00072775891749188304,2.3027524331808991e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[700.0, 770.0)",2355,0.00074516184395179152,2.3578183849792822e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[770.0, 840.0)",2459,0.00077806925401091576,2.4619428717898018e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[840.0, 910.0)",2478,0.00078408117406070232,2.4809654330937292e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[910.0, 980.0)",2402,0.00076003349386155605,2.4048746327665071e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[980.0, 1050.0)",2433,0.00076984241604804993,2.4359117500871719e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1050.0, 1120.0)",2215,0.00070086348569020629,2.2176507852300631e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1120.0, 1190.0)",2217,0.00070149631937965751,2.2196532112328526e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1190.0, 1260.0)",2211,0.00069959781831130385,2.213645933224484e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1260.0, 1330.0)",2043,0.00064643978839740157,2.0454449245477235e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1330.0, 1400.0)",1936,0.00061258318601176143,1.9383168681219587e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1400.0, 1470.0)",1664,0.00052651774603873491,1.6659913726346787e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1470.0, 1540.0)",1616,0.00051132973749190569,1.617933981234998e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1540.0, 1610.0)",1411,0.00044646428432315588,1.4126885772292042e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1610.0, 1680.0)",1236,0.00039109133649617434,1.2374791469316193e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1680.0, 1750.0)",1100,0.00034805861650966108,1.1013163991879793e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1750.0, 1820.0)",973,0.00030787367722950876,9.7416442967901418e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1820.0, 1890.0)",776,0.00024553952971473336,7.769286602954395e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1890.0, 1960.0)",678,0.0002145306789316237,6.7881138210434955e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1960.0, 2030.0)",598,0.00018921733135357499,5.9871566038260937e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2030.0, 2100.0)",461,0.00014586820907425135,4.6155169963757459e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2100.0, 2170.0)",433,0.00013700853742193431,4.3351818662662467e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2170.0, 2240.0)",342,0.00010821458999998868,3.4240929536188958e-11
