dataset,met,region,category,n,weight_ttbar_scale_down:sumw,weight_ttbar_scale_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_down_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_down:sumw,weight_ttbar_scale_muR_nom_muF_down_x_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_up_x_muR_up_muF_nom:sumw,weight_ttbar_scale_muR_up_muF_down:sumw,weight_ttbar_scale_muR_up_muF_nom:sumw,weight_ttbar_scale_up:sumw
ttbar,"[1100.0, 1200.0)",0,1.06,1,5.1484115195581807e-08,4.4200255619272297e-08,3.818250156105587e-08,4.396668620069201e-08,5.1112610509975466e-08,3.8020730274929167e-08,3.305457795880909e-08,2.9078386415063215e-08,3.8501996678459145e-08,3.3447151618514946e-08,2.9221330010879195e-08
ttbar,"[1100.0, 1200.0)",0,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,3.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,4.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",0,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.02,1,7.653621721447501e-07,6.144340368722573e-07,4.95894948953664e-07,7.938087036987406e-07,7.533333350050766e-07,6.474465961756013e-07,5.30984890923997e-07,5.549281048182449e-07,8.20642756247001e-07,6.766413266325953e-07,5.614470212351505e-07
ttbar,"[1100.0, 1200.0)",1,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",1,3.04,1,1.121554939341086e-06,1.0457971627539702e-06,9.755697258661975e-07,9.731129471692079e-07,1.1134790243401123e-06,9.139630773779369e-07,8.580322206960072e-07,7.649875429079902e-07,8.636045072576651e-07,8.148532646342822e-07,7.687379737340629e-07
ttbar,"[1100.0, 1200.0)",1,4.01,2,3.3556010219186774e-06,2.809804276520672e-06,2.3655458629285846e-06,3.2176545216561e-06,3.3060011842098107e-06,2.720580846046088e-06,2.31141673978964e-06,2.2521030176685646e-06,3.128203599574704e-06,2.662783155508757e-06,2.278589058021938e-06
ttbar,"[1100.0, 1200.0)",1,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",2,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",2,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",2,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1100.0, 1200.0)",2,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
